Unnamed: 0,Datetime,Tweet
45,2015-01-10 23:59:51+00:00,Apples &amp; caramel sooooo good from wawa😋
46,2015-01-10 23:59:42+00:00,bri literally threw an apple out the window to a car omg
47,2015-01-10 23:59:41+00:00,Apple Inc. Game Jam: Bogota #AppleInc.Jam
48,2015-01-10 23:59:37+00:00,"green apple crown royal, pineapple with vodka and pinnacle last night was rough"
49,2015-01-10 23:59:26+00:00,Well at least I have my apple sauce
50,2015-01-11 23:59:30+00:00,Jack Handey Deep Thoughts~ Its easy to sit and scoff at an old mans folly. But also check out his Adams apple
51,2015-01-11 23:59:30+00:00,"I be up so high.
Tryna get a piece of that apple pie"
52,2015-01-11 23:59:27+00:00,Apple bees
53,2015-01-11 23:59:16+00:00,I have this really hard apple that I want to throw at Samantha's head
54,2015-01-11 23:59:14+00:00,Gino and 3 apples in our 2nd dub.. #Shmoney
55,2015-01-12 23:59:58+00:00,Evil Apples is quite entertaining 😂
56,2015-01-12 23:59:41+00:00,"""@provrbs: Keep my commandments, and live; and my law as the apple of thine eye. ~Proverbs 7:2 KJV"""
57,2015-01-12 23:59:34+00:00,This apple pie &gt;&gt;&gt;&gt;&gt;&gt;&gt; 😋🙌
58,2015-01-12 23:59:27+00:00,"And that's my Monday done. I'm gonna have a bit more apple pie, then bed. Good night."
59,2015-01-12 23:59:24+00:00,"Yep definitely broken, which means a trip to the Apple shop 😭"
60,2015-01-13 23:59:56+00:00,"Who has tasted a sour apple, will have the more relish for a sweet one."
61,2015-01-13 23:59:47+00:00,American as Apple Pie! &lt;3
62,2015-01-13 23:59:40+00:00,DO APPLE JUICE SLUSHIES EXIST OH MY GOD
63,2015-01-13 23:59:40+00:00,Absolut and apple cider. Long day. Time to relax.
64,2015-01-13 23:59:28+00:00,RT @UberFacts: Apple doesn't ship its products; they all fly first class.
65,2015-01-14 23:59:48+00:00,""":) :* @PilotAde: :* Be good cinnamon apple 😂😂😂😂 RT @EniR_Olaa: ""Good Night Dear :* @PilotAde: @EniR_Olaa no goodnight at all :("""""
66,2015-01-14 23:59:43+00:00,This apple juice rn 😍🍎
67,2015-01-14 23:59:17+00:00,Lmao. Cinnamon Apple..
68,2015-01-14 23:59:08+00:00,":* Be good cinnamon apple 😂😂😂😂 RT @EniR_Olaa: ""Good Night Dear :* @PilotAde: @EniR_Olaa no goodnight at all :("""
69,2015-01-14 23:59:08+00:00,Apple Headphones &gt;
70,2015-01-15 23:59:54+00:00,FCKING HATE APPLE CHARGERS FFS
71,2015-01-15 23:59:54+00:00,Maybe I'll just eat this apple
72,2015-01-15 23:59:47+00:00,I think I've been convinced to get an android. Mostly because all the apple users don't have a valid point when I ask which is better.
73,2015-01-15 23:59:43+00:00,I don't think anyone loves apple sauce as much as I do
74,2015-01-15 23:59:39+00:00,"I want some apple pie, with some ice cream yesssssss 😩"
75,2015-01-16 23:59:55+00:00,iOS 8 has solved my iPhone memory beef and now all my phone texts hit the iPad. Thank you for listening Apple!
76,2015-01-16 23:59:44+00:00,I asked my mom if she'd put an apple on my head and have dad shoot it off and he said better make sure I have my good ones on 😂😂
77,2015-01-16 23:59:40+00:00,Finally got my apple TV to work 😍
78,2015-01-16 23:59:38+00:00,oh my god one of my nemesis drives a smart car I cant be beefin with such a cornball *drives off in my candy apple prius*
79,2015-01-16 23:59:34+00:00,"Just bought another iPhone cause mine broke, my 6th one so far. I swear Apple is making a living off me-_-"
80,2015-01-17 23:59:53+00:00,"""The whole cider thing will fade. It comes out of unimaginative bar owners catering to young monied kids who grew up on apple sauce"""
81,2015-01-17 23:59:52+00:00,"So I was just followed by someone who describes himself as an Apple enthusiast, but has a web site that is useless without Flash. #facepalm"
82,2015-01-17 23:59:48+00:00,I drink 0 water. Orange and apple juice probably the only way Im livin'
83,2015-01-17 23:59:46+00:00,"The #worst #phone #ever is a #nokia and the best phone ever is #Samsung and #Apple, really NOKIA is the worst phone that I buy in my life!!!"
84,2015-01-17 23:59:45+00:00,Lol right now Apple can miss me RT @Tshaimo: Nerk_King be great and join us 🙌
85,2015-01-18 23:59:58+00:00,I wish all Apple Store employees could get Genius training because there are literally dozens of them standing around doing nothing now.
86,2015-01-18 23:59:42+00:00,You know your sick of turtle bread food when your eating an apple in a bakery.
87,2015-01-18 23:59:40+00:00,"Blount could be the X-factor in this game. Remember what this dude did last year. He is a bad apple, but has insane ability. #NEvsIND"
88,2015-01-18 23:59:37+00:00,"How 'bout them apples, sticky fingers?!"
89,2015-01-18 23:59:36+00:00,Apple bee's would be everything right now
90,2015-01-19 23:59:59+00:00,"Had today off, flexed my culinary muscle. Apple stuffed pork topped with candied bacon, and slow roasted maple mashed sweet potatoes."
91,2015-01-19 23:59:55+00:00,"""I coughed hard af and a blood clot flew out .. I thought it was my Adam's apple"" 😂😂😂😂"
92,2015-01-19 23:59:53+00:00,Or else I'll just eat something healthy. Like a nice apple.
93,2015-01-19 23:59:48+00:00,I hate apple
94,2015-01-19 23:59:44+00:00,Just used apple pay for the first time. It was glorious.
95,2015-01-20 23:59:41+00:00,Coach made me go upstairs for an apple...an apple..
96,2015-01-20 23:59:18+00:00,Selling my KD good apples 😩
97,2015-01-20 23:59:05+00:00,Kinda wanna buy an Apple Watch just because it'd be cool to have one 😂
98,2015-01-20 23:58:58+00:00,I love when apple puts me on hold and plays be some funky fresh beats.
99,2015-01-20 23:58:45+00:00,Anyone else having major iOS 8 bugs? Apple replaced my 6+ 2x. Deletes lots of contacts and phone dialer doesn't work. Dial thru contacts app
100,2015-01-21 23:59:55+00:00,"Someone just wagered that I couldn't make apples float in water, so I made a few bob."
101,2015-01-21 23:59:53+00:00,Best part about not having braces anymore is apples
102,2015-01-21 23:59:53+00:00,Post workout snack of apples and peanut butter with baked Swai 😍
103,2015-01-21 23:59:49+00:00,There seems to be more than one Apple Rose Fibers because I see posts that I did not post. Apple Rose Fibers is part of Apple Rose Farm  NJ
104,2015-01-21 23:59:45+00:00,Trash talking at 2nights event Apple Peels &amp; Leftover Meals! Thanks to our great speakers @MassDEP @CompostBoston @IGORoamnreport #nibevents
105,2015-01-22 23:59:50+00:00,More. Fucking. Troubleshooting. This much troubleshooting BS didn't happen when Steve Jobs was running Apple.
106,2015-01-22 23:59:47+00:00,Q. What's worse than finding a worm in the apple you're eating?
107,2015-01-22 23:59:34+00:00,This new puppy is the apple of everyone's eye in the family
108,2015-01-22 23:59:14+00:00,"Ok, so I'm OBSESSED with @bellplantation PB2 powdered peanut butter! Have any of y'all dipped apples and bananas in it yet? SO GOOD!"
109,2015-01-22 23:59:13+00:00,Apples w\ lemon. o m g. ❤️
110,2015-01-23 23:59:58+00:00,"RT @_frolan: Things that make my day, discovering that @bartelldrugs supports Apple Pay. Awesome."
111,2015-01-23 23:59:56+00:00,Apple bees is poppin
112,2015-01-23 23:59:55+00:00,Soon as im done with dinner I'm going finish 🏁 my cup of ciroc and my Apple•Rita
113,2015-01-23 23:59:52+00:00,I need to go to the Apple Store my phone trippin
114,2015-01-23 23:59:43+00:00,"Google ProjectZero disclose details for three OS X 0days on Apple
#securityaffairs.co"
115,2015-01-24 23:59:57+00:00,apples
116,2015-01-24 23:59:51+00:00,McDonald's Apple Slices 😋
117,2015-01-24 23:59:47+00:00,Got me a candy apple 😋
118,2015-01-24 23:59:40+00:00,"31yrs ago the first , Apple Macintosh went on sale ."
119,2015-01-24 23:59:18+00:00,"Apple creates products that are hard to imagine, but once you have one, you can't imagine living without one —Jonathan Ive"
120,2015-01-25 23:59:58+00:00,Honestly if I had a life supply of Apple sauce and pizza rolls I'd be happy🍎🍕
121,2015-01-25 23:59:40+00:00,If you knew that this Apple 🍎 was bad for you would you still eat it ? No. What if you knew he was bad too?
122,2015-01-25 23:59:38+00:00,Okay but seriously Apple your Apple TV remote is possibly the easiest thing to lose on the planet
123,2015-01-25 23:59:26+00:00,"Apple don't fall too far.  ..... ""@TheBlvckGoddess: My kids gon be throwed tf off"""
124,2015-01-25 23:59:18+00:00,"Sister: ""i hate apple products""
*gets an iphone 6*"
125,2015-01-26 23:59:54+00:00,Apple should have given MagSafe connects and the Lightning interface to the world.
126,2015-01-26 23:59:50+00:00,HOPE IS NEW MUSIC OR A SONG ABOUT APPLES! #ShawnsAnnouncement @ShawnMendes 6
127,2015-01-26 23:59:49+00:00,"Corby gave me his iPhone 5 (I have a 4) could of had a 5S instead but don't want to deal with touch ID. 5C is on the Apple site, no plain 5."
128,2015-01-26 23:59:44+00:00,HOPE IS NEW MUSIC OR A SONG ABOUT APPLES! #ShawnsAnnouncement @ShawnMendes 5
129,2015-01-26 23:59:37+00:00,HOPE IS NEW MUSIC OR A SONG ABOUT APPLES! #ShawnsAnnouncement @ShawnMendes 4
130,2015-01-27 23:59:50+00:00,Apple is literally unreal with $178 billi in cash
131,2015-01-27 23:59:48+00:00,"Where are the people who predicted Apple's closed model was obviously long term doom? For one, I'm right here. #wrongOnThatOne"
132,2015-01-27 23:59:47+00:00,"BIG APPLE: quarterly revenues $74.6bn, profits $18bn, gross margin 39.9%, 74.5m iPhones sold. Tim Cook; ""Hahahahahaha haha hahahahahahahaha"""
133,2015-01-27 23:59:42+00:00,Interesting statistic today... Apple sold 9 iPhones every second for the last 3 months.  #MindBlown
134,2015-01-27 23:59:36+00:00,"Five years ago, Apple posted $15bn in quarterly revenue. That number has now quadrupled."
135,2015-01-28 23:59:56+00:00,Apple just announced being the most profitable company ever!  Pretty sure my daughter contributed due to in-app purchases!
136,2015-01-28 23:59:39+00:00,"I heard Apple now has so much cash on hand they could write a check for $556  to every man, woman and child in America. Madness."
137,2015-01-28 23:59:25+00:00,Tonight for dinner we are having buffalo-style chicken drumsticks with celery-apple salad and blue cheese sauce.
138,2015-01-28 23:59:24+00:00,I swear theres a budgie in the break room at the Apple store
139,2015-01-28 23:59:22+00:00,Apple's World Record Quarterly doesn't surprise me at all. iPhone's and iPad's are the most overpriced pieces of shit!
140,2015-01-29 23:59:47+00:00,@Staarzy1's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.
141,2015-01-29 23:59:37+00:00,Who has the Apple plug tho?
142,2015-01-29 23:59:33+00:00,"New Apple OSX 10.10 Updates found: iTunesX
iTunes
12.1"
143,2015-01-29 23:59:23+00:00,Hate apple chargers they so cheap
144,2015-01-29 23:59:14+00:00,Spoke to a trio from Apple Valley who have been waiting for their friend since 3. Ginger Fant said her friend's flight landed at 3:05
145,2015-01-30 23:59:57+00:00,Fire. Steak. Potatoes. Apple pie and vanilla ice cream. And a few great beers of the month. I love Fridays.
146,2015-01-30 23:59:52+00:00,"YAML all the apple folks, I just found out the company I work for matches funds when I donate, but I don't have long hair."
147,2015-01-30 23:59:42+00:00,Green Apple Jolly Ranchers make me cough. There. I said it. 🍬
148,2015-01-30 23:59:20+00:00,Apple Pie And Vanilla Ice Cream #FoodFriday
149,2015-01-30 23:59:18+00:00,Cinnamon apple sauce is amazing
150,2015-01-31 23:59:54+00:00,My moms not buying the apples I eat everyday... What is this?
151,2015-01-31 23:59:52+00:00,"First Waffle House, then house of pizza, then Olive Garden, then Apple bees, then wild woke and now kobes. Only with @ayyitsjess 😂😭"
152,2015-01-31 23:59:32+00:00,I think I'm going through an apple phase
153,2015-01-31 23:59:18+00:00,Looking for the perfect way to finish tomorrow's #SuperBowlXLIX meal? 13 apple fritters for $10-nothing beats that!
154,2015-01-31 23:59:07+00:00,i put my music on shuffle and so far i've listened to the studio recording of stairway to heaven followed by 2 live versions way to be apple
155,2015-02-01 23:59:49+00:00,"I can say for sure, no ones favorite @Skittles is green apple"
156,2015-02-01 23:59:48+00:00,"Yo, Skittles, to hell with lemon, we still need to talk about lime getting the shaft in favor of that sour apple bullshit."
157,2015-02-01 23:59:46+00:00,drinking an APPLE RITA
158,2015-02-01 23:59:41+00:00,Bruh em green apple skittles is crack &amp; the red ones
159,2015-02-01 23:59:38+00:00,Apple bees made me miss the fight yesterday 😒
160,2015-02-02 23:59:59+00:00,I feel so at home at the Apple Store
161,2015-02-02 23:59:59+00:00,Doing Drugs on the surface of Apple Products
162,2015-02-02 23:59:24+00:00,I just fed my dog roast beef and rice and she's STILL begging for my apple. 😕
163,2015-02-02 23:59:22+00:00,Brian spilled raspberry iced tea all over me at Apple Bee's. I cannot bring him anywhere. 😂
164,2015-02-02 23:59:16+00:00,"""nice bath want some company?"" 

unless you are a green apple slushie from Sonic the answer is no"
165,2015-02-03 23:59:55+00:00,I can finally eat apples without having to cut them 😆
166,2015-02-03 23:59:47+00:00,...Apple Lovers...thank you Tommy Davis...Nationwide Ins Windsor NC...Apple Lovers...
167,2015-02-03 23:59:35+00:00,I don't care how politically incorrect its sounds we definitely need a du rag emoji this year yo @apple
168,2015-02-03 23:59:35+00:00,there was always a reason i liked apple over pc….
169,2015-02-03 23:59:35+00:00,"""Sorry I have apple breath"""
170,2015-02-04 23:59:57+00:00,I burned a whole 150 calorie at the gym! Wow! 3 whole apples!
171,2015-02-04 23:59:54+00:00,WHY DO ALL MY PHONE CHARGERS BREAK ON ME OMG APPLE PLZ FIX THIS PROBLEM
172,2015-02-04 23:59:53+00:00,APPLE
173,2015-02-04 23:59:52+00:00,why are iphone chargers not called Apple Juice.
174,2015-02-04 23:59:50+00:00,"""Apple wouldn’t be reinventing the way TV works today, but offering its own version of it, with its own interface and user experience.""

Yep"
175,2015-02-05 23:59:52+00:00,Apple don’t know #LifeMaster dead dinosaurs #LifeMasterShirt live laugh love
176,2015-02-05 23:59:46+00:00,Apple Juice Better Then Orange Juice
177,2015-02-05 23:59:41+00:00,Snapple apple is best Snapple
178,2015-02-05 23:59:26+00:00,interesting stats from a local Whole Foods (cafeteria section) - every 5th customer uses Apple Pay
179,2015-02-05 23:59:23+00:00,"Ok, turns out apples podcasts app doesn't have the basic ""add manually"" feature for whatever reason. Search should work by the next podcast."
180,2015-02-06 23:59:49+00:00,Craving a caramel apple lollipop
181,2015-02-06 23:59:45+00:00,I always give up with my apples half way through them. They become far too sweet and sickly for me..
182,2015-02-06 23:59:37+00:00,apple chargers do not last 😑
183,2015-02-06 23:59:19+00:00,"""@GlennCocoa__: Wth is wrong with peanut butter??"" It doesn't go with apples or jelly. Or choclate or cookies."
184,2015-02-06 23:59:03+00:00,"""@R0x_pearls: No clubs just a nice bar with nice company 🍒🍹🍸🍷"" BIG APPLE IN DA VILLE """
185,2015-02-07 23:59:48+00:00,Apple Skittles suck bullshit dumbass
186,2015-02-07 23:59:39+00:00,Apple has had me on hold now for 18 minutes. Wtf 😤😤
187,2015-02-07 23:59:32+00:00,Red cars ugly af UNLESS it's that deep candy apple red
188,2015-02-07 23:59:11+00:00,When is Apple going to come out with the option to turn read receipts on for only certain people?
189,2015-02-07 23:58:59+00:00,Apple jacks should be in my stomach right now but I guess it ain't meant to be
190,2015-02-08 23:59:52+00:00,An Apple a Day MAY keep the Doctor away but Thermo Phen Phen each day WILL BURN YOUR FAT AWAY!
191,2015-02-08 23:59:47+00:00,Just used Apple Pay at McClanahans!
192,2015-02-08 23:59:41+00:00,My cinnamon apple
193,2015-02-08 23:59:22+00:00,Apples are pretty damn good dude...
194,2015-02-08 23:59:21+00:00,I could eat a Wendy's Apple Pecan salad everyday #SoGood
195,2015-02-09 23:59:56+00:00,"Walked into an Apple Store, picked up   headphones, scanned the bar code, paid w/ Apple pay, and walked right out. Didn’t talk to a soul."
196,2015-02-09 23:59:52+00:00,"""@mysteriousfact: Apples are more effective at keeping people awake in the morning than caffeine.""@kenzguuuurl"
197,2015-02-09 23:59:45+00:00,Apples. #apples
198,2015-02-09 23:59:29+00:00,Apple shit going down the damn drain. Might as well get a damn bootleg ass android 😒😒😒
199,2015-02-09 23:59:25+00:00,Hawkeye neuroscience takes on the Big Apple - congrats @oracleatbelfi and @ginaginar on landing NYU postdocs! #awesome #postdoc #gwis
200,2015-02-10 23:59:42+00:00,I FUCKING HATE APPLE RIGHT NOW. UPDATED MY I CLOUD EMAIL AND LOST ALL MY DAMND CONTACTS
201,2015-02-10 23:59:42+00:00,"Fiona Apple + Beyoncé \ Alanis Morissette  = Haim, yes?"
202,2015-02-10 23:59:26+00:00,If an apple corer isn't up there in the top five greatest inventions of all time then i don't know why we're here!
203,2015-02-10 23:59:24+00:00,RT @CrownTilesLtd Retweet for your chance to win an Apple iPad Air 2! #tiles #diy #walltiles #floortiles #mosaics #freebie #giveaway
204,2015-02-10 23:59:22+00:00,APPLE CAME THROUGH! :D
205,2015-02-11 23:59:55+00:00,apple juice is so good ☺️
206,2015-02-11 23:59:44+00:00,"You can force a refresh of the website by pressing:
Windows: ctrl + F5
Mac/Apple: Apple + R or command + R
Linux: F5
Chrome: ctrl + F5"
207,2015-02-11 23:59:43+00:00,"As far as I'm concerned, apple sauce is a beverage"
208,2015-02-11 23:59:39+00:00,Our son is crazy but the apple don't fall to far from the tree. His parents are a little thrown off.
209,2015-02-11 23:59:34+00:00,"Turns out The Doctor replaced Jameson I brought from home with apple juice because it's ""bad for you"" -_-"
210,2015-02-12 23:59:45+00:00,Apple needs to make going from app to app simpler. They just need to add a single swipe to the side.
211,2015-02-12 23:59:34+00:00,"I read want some cheez its, a pack of Oreos and some apple juice"
212,2015-02-12 23:59:12+00:00,Shit apple doesn't fall far from the shit tree
213,2015-02-12 23:59:09+00:00,I hate my iPhone so much. Thanks apple
214,2015-02-12 23:58:52+00:00,"[WP] In an effort to further simplify technology, Apple introduces the iBrick, a computer with no screen, buttons, inputs or outputs of any…"
215,2015-02-13 23:59:58+00:00,That's also why Apple is the most valuable company on the planet. Their gross margins for all of their products are fatter than competitors.
216,2015-02-13 23:59:50+00:00,I can't wait to check out Samsung Galaxy Air Car before Apple Car. #nevertoosoon
217,2015-02-13 23:59:43+00:00,"It's annoying only being able to eat grapes, strawberries, and apples."
218,2015-02-13 23:59:37+00:00,Green apples are the shit
219,2015-02-13 23:59:34+00:00,"Okay , Apple need to take this U2 crap out my music"
220,2015-02-14 23:59:57+00:00,"""Do you like apples?""
""Yeah.""
""Well, I got her number. How do you like them apples?"""
221,2015-02-14 23:59:57+00:00,Every time I download an update from Apple my butt clenches.
222,2015-02-14 23:59:50+00:00,So there is a Apple Store inside Grand Central Station!? Nice.
223,2015-02-14 23:59:48+00:00,My boyfriend is sharing his apple juice with me. He must really love me. 😂💌
224,2015-02-14 23:59:47+00:00,"Candy, puppies, flowers and my sisters friends keep telling me how pretty I look so how bout them apples for a solid Valentine's Day💁"
225,2015-02-15 23:59:55+00:00,i wanted to put my music on my phone but i cant remember my apple info for itunes to sync to my new coMPUTER!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
226,2015-02-15 23:59:53+00:00,"Got that lunch box and apple sauce
As long as my schoolmates love me. 😂👌"
227,2015-02-15 23:59:36+00:00,"DISRESPECT YOUR SURROUNDINGS
Me: Throws my apple juice bottle at my cat

@WhereisADTR"
228,2015-02-15 23:59:31+00:00,These Apple and cinnamon nutrigrain bars taste like Disney food 😍
229,2015-02-15 23:59:28+00:00,Apple pie shots 😍
230,2015-02-16 23:59:46+00:00,My daddy was a hustler Apple don't fall far from the tree
231,2015-02-16 23:59:35+00:00,Try @portersfire shot dropped into Hard Cider - Tastes just like Apple Pie!
232,2015-02-16 23:59:20+00:00,I eat the peel of an apple &amp; throw away the rest.
233,2015-02-16 23:59:16+00:00,"""@isomerss: saw someone earlier eat a tomato like an apple who should I call?""
Call me so I can finally have someone who understands me."
234,2015-02-16 23:59:01+00:00,"More ""Apple"" news. MT @FO_Futch: St. Paul's Board voted 5-1 to agree to offer incentives package to unspecified company"
235,2015-02-17 23:59:57+00:00,"If I'm ever mad at you and you want to make it up to me , buy me apple juice 😊"
236,2015-02-17 23:59:49+00:00,I've only had an apple all day long my nigga I'm starving.
237,2015-02-17 23:59:47+00:00,IM GOING TO EAT EAT EAT APPLES AND BANANAAAASSS🍎🍌🍌🍌🍌🍎🍎🍎🍎🍎🍎🍌🍎🍌🍌🍌🍎🍎🍎🍎🍎🍎🍌🍌🍌🍌🍎🍎🍎🍎🍎🍌🍌🍌🍌🍌🍌🍎🍌🍌🍌🍎🍎🍎🍌🍌🍎🍌🍌🍌🍎🍎🍎🍎🍎🍎🍎🍎🍎🍎🍎🍌🍌🍌🍌🍌🍌🍌🍎🍌🍌🍌🍌🍌🍌🍌🍌🍎🍎🍎🍎🍎🍎🍎🍎🍎🍎🍎🍎🍎🍎🍎
238,2015-02-17 23:59:39+00:00,"Dear Apple Maps, you suck. Bring back Google Maps."
239,2015-02-17 23:59:34+00:00,"Dear Apple, I'd love to get my computer back sometime soon."
240,2015-02-18 23:59:45+00:00,this apple taste like a pear
241,2015-02-18 23:59:18+00:00,Interview with Apple Sunday.. 👍
242,2015-02-18 23:59:17+00:00,I would love for Apple to launch a new social media.
243,2015-02-18 23:59:16+00:00,I asked my mother for a fruit cup &amp; she brings home this big thing of apples &amp; oranges
244,2015-02-18 23:59:01+00:00,With Microsoft going open and the Apple iWork strategy becoming more clear my bet is on Yahoo taking search back from Google on iOS asap.
245,2015-02-19 23:59:51+00:00,Apple can't get autocorrect right... Why should they make a CAR not cats.... #AppleCar
246,2015-02-19 23:59:50+00:00,reminder that blueberry and apple tea is beaut and if you need to hydrate i 100% recommend
247,2015-02-19 23:59:46+00:00,Apple is making cars now ? They're really taking over the world lol
248,2015-02-19 23:59:36+00:00,I had salmon with avacado for dinner with apple slices for dessert ☺️
249,2015-02-19 23:59:22+00:00,RT @ RichieMetcalfe: iTunes could be much better if it used data from #Genius and had deeper integration with Shazam #Apple #OSX #iOS
250,2015-02-20 23:59:52+00:00,Iphone tenacity isogenesis: apple re avant-garde fabrication eyes: ETpVPqEpB
251,2015-02-20 23:59:40+00:00,"Also, Apple needs to make a black person emoji."
252,2015-02-20 23:59:40+00:00,no grandpa i dont want an apple stop asking
253,2015-02-20 23:59:35+00:00,Apple tv and movie box is all i need
254,2015-02-20 23:59:33+00:00,"If @SwiftLang is Apple's way of saying, ""Sorry for the whole ObjC thing..."" then I accept. Amazing lang that helps you write better code."
255,2015-02-21 23:59:44+00:00,I done had a big breakfast. Grilled cheese with Apple sauce now this 😩😩
256,2015-02-21 23:59:23+00:00,I'm craving caramel apple spice from @Starbucks !!
257,2015-02-21 23:59:21+00:00,"My sister the little shit has ordered a pizza, fumin cos I've just settled for an apple! 👊"
258,2015-02-21 23:59:12+00:00,You'd think as popular as Apple is they'd come out with a charger that wouldn't break
259,2015-02-21 23:59:09+00:00,The big apple
260,2015-02-22 23:59:42+00:00,Dinner eggplant parmesan and for dessert apple mousse covered w white chocolate ganache sitting on raspberry mousse
261,2015-02-22 23:59:39+00:00,When you go to target for an apple gift card just to get some more gems #Clash
262,2015-02-22 23:59:29+00:00,every time iTunes updates it re-installs its icon on the desktop. and every time I don't notice for a few days. FUCK OFF APPLE *delete*
263,2015-02-22 23:59:17+00:00,Apple sauce and nachos
264,2015-02-22 23:59:08+00:00,"Wow, I had some cereal and an apple, apples are my favorite things to eat,"
